gender,SeniorCitizen,tenure,PhoneService,InternetService,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
Male,0,14,yes,DSL,Month-to-month,yes,Electronic check,27.59,393.15,no
Female,0,32,yes,No,Two year,yes,Electronic check,47.79,1476.56,no
Female,0,19,yes,DSL,One year,no,Credit card,103.48,2338.650806,no
Male,0,54,no,DSL,One year,yes,Bank transfer,82.82,4527.57,no
Female,0,11,yes,DSL,Month-to-month,yes,Electronic check,24.16,261.89,no
Female,0,43,yes,No,Month-to-month,yes,Bank transfer,86.84,3602.23,no
Male,0,67,yes,DSL,Month-to-month,yes,Mailed check,82.01,2338.650806,no
Male,0,16,yes,fibre optic,Month-to-month,yes,Bank transfer,83.7,1312.17,no
Male,0,24,yes,DSL,Month-to-month,yes,Mailed check,73.45,1765.13,no
Female,1,12,no,Fiber optic,Two year,no,Bank transfer,74.77,902.51,no
Male,0,23,yes,DSL,Two year,no,Credit card,49.08,1151.64,no
Female,0,56,yes,DSL,Month-to-month,yes,Electronic check,70.97,3830.36,yes
Female,0,59,yes,DSL,One year,yes,Credit card,65.83,3916.82,no
Male,0,68,yes,DSL,Two year,yes,Credit card,75.74,5029.75,no
Female,0,30,yes,DSL,Month-to-month,no,Bank transfer,83.59,2460.15,no
Female,0,46,yes,nan,One year,no,Electronic check,83.43,3850.6,no
Female,0,67,yes,No,Two year,no,Electronic check,36.62,2482.05,no
Male,1,4,yes,DSL,One year,yes,Electronic check,88.79,345.82,no
Male,0,65,no,Fiber optic,One year,no,Credit card,50.18,3113,no
Female,0,2,yes,fibre optic,Month-to-month,no,Credit card,93.9,185.97,no
Female,0,3,yes,DSL,Month-to-month,no,Bank transfer,66.88,199.53,yes
Male,0,64,yes,nan,Month-to-month,no,Bank transfer,56.37,3557.13,yes
Male,0,49,yes,Fiber optic,Month-to-month,yes,Electronic check,73.7,3714.7,no
Female,0,45,yes,DSL,Month-to-month,yes,Credit card,55.92,2627.68,yes
Female,0,64,yes,Fiber optic,Month-to-month,yes,Electronic check,52.39,3335.52,yes
Female,1,70,yes,DSL,Month-to-month,yes,Electronic check,60.31,2338.650806,yes
Female,0,60,yes,Fiber optic,Month-to-month,no,Electronic check,34.65,2027.89,no
Female,0,15,yes,Fiber optic,Two year,no,Electronic check,41.06,2338.650806,no
Male,0,17,yes,Fiber optic,Two year,yes,Bank transfer,105.97,1872.93,no
Male,1,45,yes,DSL,month to month,yes,Bank transfer,101.06,4606.42,yes
Female,0,11,yes,No,Month-to-month,no,Credit card,52.07,572.09,no
Male,0,63,yes,Fiber optic,Month-to-month,yes,Mailed check,95.5,6130.37,yes
Female,0,46,yes,fibre optic,One year,yes,Credit card,42.28,1997.7,no
Male,0,22,yes,Fiber optic,Month-to-month,no,Credit card,45.35,990.57,no
Male,0,18,yes,DSL,Month-to-month,yes,Electronic check,80.37,1501.5,no
Male,0,40,yes,No,One year,yes,Electronic check,86.63,3486.86,no
Female,0,44,yes,Fiber optic,Two year,yes,Credit card,51.61,2181.5,no
Female,0,37,yes,No,Two year,yes,Mailed check,90.6,3409.82,no
Female,0,32,yes,DSL,month to month,no,Bank transfer,22.85,748.3,no
Male,0,47,yes,DSL,Two year,no,Electronic check,20.89,1013.71,no
Male,0,51,yes,No,One year,no,Bank transfer,90.55,4694.48,no
Female,0,54,yes,fibre optic,One year,yes,Credit card,78.99,4358.79,yes
Male,0,21,yes,fibre optic,One year,no,Bank transfer,94.92,1896.16,no
Female,1,51,no,DSL,Month-to-month,yes,Bank transfer,24.42,1198.9,yes
Female,0,11,yes,DSL,Month-to-month,yes,Mailed check,58.15,626.67,no
Female,1,70,yes,No,Month-to-month,yes,Electronic check,100.69,2338.650806,no
Male,0,26,yes,Fiber optic,Month-to-month,yes,Credit card,29.2,752.9,no
Male,0,27,yes,Fiber optic,Two year,yes,Electronic check,20.74,565.78,no
Male,0,56,yes,DSL,Month-to-month,yes,Electronic check,108.08,5899.33,yes
Male,0,21,yes,Fiber optic,Month-to-month,no,Electronic check,84.15,1842.19,no
Male,0,32,yes,nan,One year,no,Electronic check,70.28,2176.6,no
Male,0,53,yes,Fiber optic,month to month,no,Credit card,102.22,5208.81,no
Male,0,48,yes,Fiber optic,2 year,yes,Bank transfer,30.22,1378.2,no
Male,1,45,yes,No,One year,no,Credit card,49.49,2174.17,no
Male,0,30,yes,Fiber optic,One year,yes,Electronic check,104.7,3037.14,no
Male,0,24,yes,DSL,Two year,yes,Bank transfer,29.94,694.14,no
Female,0,27,no,No,Month-to-month,yes,Credit card,73.13,1945.96,yes
Male,0,2,yes,No,Two year,no,Electronic check,57.63,117.2,no
Female,0,5,no,DSL,monthly,no,Mailed check,62.59,303.97,yes
Male,0,47,yes,Fiber optic,Two year,no,Mailed check,52.51,2587.73,no
Female,1,14,no,No,Month-to-month,yes,Electronic check,48.15,667.5,no
Female,0,2,yes,DSL,Two year,no,Credit card,74.79,2338.650806,no
Female,0,45,yes,Fiber optic,Month-to-month,yes,Mailed check,72.97,3443.62,yes
Female,0,14,yes,fibre optic,Two year,no,Electronic check,92.66,1300.18,no
Male,1,26,yes,Fiber optic,Month-to-month,yes,Credit card,74.37,2338.650806,yes
Male,1,69,no,DSL,Two year,no,Credit card,44.21,2338.650806,no
Female,0,4,yes,No,Month-to-month,yes,Electronic check,32.17,128.29,yes
Female,0,28,yes,No,1 year,yes,Bank transfer,54.04,1438.7,no
Female,0,37,yes,Fiber optic,Month-to-month,no,Electronic check,34.94,1246.44,yes
Female,0,54,yes,DSL,Month-to-month,no,Bank transfer,106.89,5819.5,yes
Male,0,9,yes,No,Month-to-month,yes,Electronic check,50.28,435,no
Female,0,38,yes,Fiber optic,Month-to-month,yes,Credit card,77.49,2932.15,no
Male,1,45,no,DSL,Month-to-month,no,Credit card,79.52,3697.29,yes
Male,0,47,yes,No,monthly,yes,Electronic check,86.51,2338.650806,yes
Female,0,58,yes,No,Month-to-month,yes,Electronic check,39.32,2280.55,yes
Male,0,7,yes,DSL,Month-to-month,no,Mailed check,63.36,439.05,no
Female,0,59,yes,Fiber optic,One year,no,Electronic check,78.57,4775.94,no
Male,0,25,yes,DSL,month to month,no,Electronic check,89.39,2213.38,no
Female,0,47,yes,DSL,One year,yes,Mailed check,91.98,4454.03,no
Male,0,45,yes,fibre optic,Month-to-month,no,Credit card,81.7,3735.98,yes
Male,0,66,yes,Fiber optic,One year,no,Mailed check,93.41,6052.96,no
Female,0,35,yes,Fiber optic,Two year,yes,Electronic check,31.04,1134.66,no
Male,0,1,yes,DSL,Month-to-month,yes,Bank transfer,66.99,69.77,yes
Male,0,25,yes,Fiber optic,month to month,yes,Electronic check,109.35,2664.99,yes
Male,0,29,no,Fiber optic,Month-to-month,no,Electronic check,85.4,2545.71,no
Female,0,13,no,DSL,Month-to-month,yes,Mailed check,68.08,876.01,yes
Male,1,25,yes,DSL,Month-to-month,no,Electronic check,44.35,1094.62,no
Male,1,60,yes,Fiber optic,Month-to-month,yes,Mailed check,38.07,2246.53,yes
Male,0,48,yes,DSL,Month-to-month,no,Mailed check,41.68,2072.19,no
Female,0,1,yes,Fiber optic,One year,yes,Credit card,84.45,86.28,no
Female,0,48,yes,Fiber optic,Month-to-month,no,Mailed check,84.98,4011.13,yes
Male,0,41,yes,Fiber optic,One year,no,Credit card,32.98,2338.650806,yes
Male,0,15,yes,DSL,One year,no,Electronic check,98.15,1405.67,no
Male,0,19,yes,DSL,Two year,yes,Electronic check,38.56,2338.650806,no
Male,0,29,yes,fibre optic,Month-to-month,yes,Electronic check,49.73,1512.01,no
Male,0,7,yes,DSL,Month-to-month,yes,Electronic check,98.07,709.28,no
Male,0,4,yes,DSL,Month-to-month,no,Bank transfer,91.45,368.01,no
Male,0,16,yes,No,Month-to-month,no,Credit card,30.53,495.67,yes
Male,0,55,yes,No,One year,yes,Mailed check,52.1,2338.650806,no
Male,0,11,yes,DSL,One year,no,Bank transfer,60.9,643.19,yes
Female,0,56,yes,No,One year,no,Electronic check,71.82,3959.12,no
Male,0,66,yes,DSL,1 year,yes,Mailed check,102.05,6964.14,no
Female,0,57,yes,DSL,Month-to-month,no,Bank transfer,60.21,3594.88,no
Male,0,10,yes,Fiber optic,Month-to-month,no,Credit card,80.94,821.18,no
Female,0,28,yes,DSL,Month-to-month,yes,Mailed check,89.99,2338.650806,yes
Male,1,60,yes,No,Month-to-month,yes,Electronic check,35.47,2223.44,yes
Male,1,57,yes,Fiber optic,Two year,yes,Mailed check,35.04,2083.67,no
Female,0,4,yes,Fiber optic,One year,yes,Credit card,70.42,274.97,no
Female,0,28,yes,Fiber optic,Two year,yes,Mailed check,77.85,2225.82,no
